------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.8 Firmware v3.2.1 date format M/d/yyyy at 30 Hz  -----------
Serial Number: NEO1C04110486
Start Time 00:00:00
Start Date 11/19/2013
Epoch Period (hh:mm:ss) 00:00:00
Download Time 11:00:51
Download Date 7/27/2015
Current Memory Address: 0
Current Battery Voltage: 3.22     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.0000,0.0000,0.0000
0.1606,0.0000,0.0000
0.3170,0.0000,0.0000
0.4652,0.0000,0.0000
0.6013,0.0000,0.0000
0.7218,0.0000,0.0000
0.8235,0.0000,0.0000
0.9039,0.0000,0.0000
0.9609,0.0000,0.0000
0.9929,0.0000,0.0000
0.9991,0.0000,0.0000
0.9794,0.0000,0.0000
0.9343,0.0000,0.0000
0.8650,0.0000,0.0000
0.7732,0.0000,0.0000
0.6613,0.0000,0.0000
0.5323,0.0000,0.0000
0.3894,0.0000,0.0000
0.2365,0.0000,0.0000
0.0774,0.0000,0.0000
-0.0837,0.0000,0.0000
-0.2426,0.0000,0.0000
-0.3952,0.0000,0.0000
-0.5376,0.0000,0.0000
-0.6660,0.0000,0.0000
-0.7771,0.0000,0.0000
-0.8681,0.0000,0.0000
-0.9365,0.0000,0.0000
-0.9807,0.0000,0.0000
-0.9994,0.0000,0.0000
-0.9921,0.0000,0.0000
-0.9591,0.0000,0.0000
-0.9012,0.0000,0.0000
-0.8200,0.0000,0.0000
-0.7174,0.0000,0.0000
-0.5962,0.0000,0.0000
-0.4596,0.0000,0.0000
-0.3110,0.0000,0.0000
-0.1544,0.0000,0.0000
0.0063,0.0000,0.0000
0.1668,0.0000,0.0000
0.3229,0.0000,0.0000
0.4707,0.0000,0.0000
0.6063,0.0000,0.0000
0.7261,0.0000,0.0000
0.8271,0.0000,0.0000
0.9066,0.0000,0.0000
0.9626,0.0000,0.0000
0.9936,0.0000,0.0000
0.9988,0.0000,0.0000
0.9781,0.0000,0.0000
0.9321,0.0000,0.0000
0.8618,0.0000,0.0000
0.7692,0.0000,0.0000
0.6566,0.0000,0.0000
0.5270,0.0000,0.0000
0.3837,0.0000,0.0000
0.2304,0.0000,0.0000
0.0711,0.0000,0.0000
-0.0899,0.0000,0.0000
-0.2487,0.0000,0.0000
-0.4010,0.0000,0.0000
-0.5429,0.0000,0.0000
-0.6707,0.0000,0.0000
-0.7811,0.0000,0.0000
-0.8712,0.0000,0.0000
-0.9387,0.0000,0.0000
-0.9819,0.0000,0.0000
-0.9996,0.0000,0.0000
-0.9913,0.0000,0.0000
-0.9573,0.0000,0.0000
-0.8985,0.0000,0.0000
-0.8163,0.0000,0.0000
-0.7130,0.0000,0.0000
-0.5912,0.0000,0.0000
-0.4540,0.0000,0.0000
-0.3050,0.0000,0.0000
-0.1482,0.0000,0.0000
0.0126,0.0000,0.0000
0.1730,0.0000,0.0000
0.3289,0.0000,0.0000
0.4762,0.0000,0.0000
0.6113,0.0000,0.0000
0.7304,0.0000,0.0000
0.8306,0.0000,0.0000
0.9092,0.0000,0.0000
0.9643,0.0000,0.0000
0.9943,0.0000,0.0000
0.9985,0.0000,0.0000
0.9768,0.0000,0.0000
0.9298,0.0000,0.0000
0.8586,0.0000,0.0000
0.7651,0.0000,0.0000
0.6518,0.0000,0.0000
0.5216,0.0000,0.0000
0.3778,0.0000,0.0000
0.2243,0.0000,0.0000
0.0649,0.0000,0.0000
-0.0962,0.0000,0.0000
-0.2548,0.0000,0.0000
-0.4067,0.0000,0.0000
-0.5481,0.0000,0.0000
-0.6753,0.0000,0.0000
-0.7850,0.0000,0.0000
-0.8743,0.0000,0.0000
-0.9409,0.0000,0.0000
-0.9831,0.0000,0.0000
-0.9997,0.0000,0.0000
-0.9905,0.0000,0.0000
-0.9555,0.0000,0.0000
-0.8957,0.0000,0.0000
-0.8127,0.0000,0.0000
-0.7086,0.0000,0.0000
-0.5861,0.0000,0.0000
-0.4484,0.0000,0.0000
-0.2990,0.0000,0.0000
-0.1419,0.0000,0.0000
0.0188,0.0000,0.0000
0.1791,0.0000,0.0000
0.3348,0.0000,0.0000
0.4818,0.0000,0.0000
0.6162,0.0000,0.0000
0.7347,0.0000,0.0000
0.8341,0.0000,0.0000
0.9118,0.0000,0.0000
0.9659,0.0000,0.0000
0.9950,0.0000,0.0000
0.9982,0.0000,0.0000
0.9755,0.0000,0.0000
0.9274,0.0000,0.0000
0.8554,0.0000,0.0000
0.7611,0.0000,0.0000
0.6471,0.0000,0.0000
0.5162,0.0000,0.0000
0.3720,0.0000,0.0000
0.2181,0.0000,0.0000
0.0586,0.0000,0.0000
-0.1024,0.0000,0.0000
-0.2608,0.0000,0.0000
-0.4125,0.0000,0.0000
-0.5534,0.0000,0.0000
-0.6800,0.0000,0.0000
-0.7889,0.0000,0.0000
-0.8773,0.0000,0.0000
-0.9430,0.0000,0.0000
-0.9842,0.0000,0.0000
-0.9999,0.0000,0.0000
-0.9896,0.0000,0.0000
-0.9536,0.0000,0.0000
-0.8929,0.0000,0.0000
-0.8090,0.0000,0.0000
-0.7041,0.0000,0.0000
-0.5810,0.0000,0.0000
-0.4428,0.0000,0.0000
-0.2930,0.0000,0.0000
-0.1357,0.0000,0.0000
0.0251,0.0000,0.0000
0.1853,0.0000,0.0000
0.3407,0.0000,0.0000
0.4873,0.0000,0.0000
0.6211,0.0000,0.0000
0.7389,0.0000,0.0000
0.8375,0.0000,0.0000
0.9144,0.0000,0.0000
0.9675,0.0000,0.0000
0.9956,0.0000,0.0000
0.9978,0.0000,0.0000
0.9741,0.0000,0.0000
0.9251,0.0000,0.0000
0.8521,0.0000,0.0000
0.7570,0.0000,0.0000
0.6423,0.0000,0.0000
0.5108,0.0000,0.0000
0.3662,0.0000,0.0000
0.2120,0.0000,0.0000
0.0523,0.0000,0.0000
-0.1087,0.0000,0.0000
-0.2669,0.0000,0.0000
-0.4182,0.0000,0.0000
-0.5586,0.0000,0.0000
-0.6845,0.0000,0.0000
-0.7927,0.0000,0.0000
-0.8803,0.0000,0.0000
-0.9451,0.0000,0.0000
-0.9853,0.0000,0.0000
-0.9999,0.0000,0.0000
-0.9887,0.0000,0.0000
-0.9517,0.0000,0.0000
-0.8901,0.0000,0.0000
-0.8053,0.0000,0.0000
-0.6997,0.0000,0.0000
-0.5759,0.0000,0.0000
